R_Mean,G_Mean,B_Mean,R_Varian,G_Varian,B_Varian,R_skewness,G_skewness,B_skewness,R_kurtosis,G_kurtosis,B_kurtosis,Kematangan/Keterangan,
154.1936,159.502,131.0313,48.60058,48.0585,79.10415,-0.54347,-0.63572,-0.33212,-0.65953,-0.41852,-1.60995,1,
147.6295,154.9974,115.1709,40.58996,41.94844,69.79939,-0.28922,-0.35696,-0.12718,-1.21549,-1.05433,-1.78198,1,
151.451,158.5575,123.3422,38.72053,39.82974,67.88183,-0.47344,-0.54164,-0.37637,-0.98657,-0.80165,-1.64479,1,                  
147.6206,152.7317,133.577,50.58833,49.2554,74.57686,-0.62812,-0.66359,-0.53657,-0.49321,-0.39993,-1.36183,1,
160.8428,168.5265,147.6874,41.7993,41.84087,61.66094,-1.00839,-1.02003,-0.96669,-0.19903,-0.09263,-0.81382,1,
139.8745,147.0293,127.9525,32.28708,32.09321,49.65673,-1.0284,-1.12517,-0.9195,0.313049,0.745645,-0.83627,1,
158.4792,164.2237,149.0601,56.44857,52.89213,74.6288,-0.45221,-0.45561,-0.58354,-0.38271,-0.21683,-1.01831,2,
151.6915,158.001,140.1693,46.08404,47.20559,59.91171,-0.65114,-0.9031,-0.75693,0.034713,0.547703,-0.69473,2,
153.4943,160.4832,141.5471,42.28289,42.27828,57.62908,-0.75034,-0.96386,-0.86231,0.126515,0.809863,-0.63131,2,
146.1314,152.1258,141.0574,51.85337,49.98428,69.75844,-0.82422,-0.96901,-0.75142,-0.14339,0.406511,-1.03231,2,
156.8812,164.2564,145.7064,44.97102,45.62492,60.80287,-0.48317,-0.80164,-0.72638,-0.02215,0.569617,-0.73789,2,
153.8806,160.3099,144.2072,48.58915,50.17517,62.3029,-0.45486,-0.77455,-0.646,-0.05818,0.357811,-0.7661,2,
169.5884,181.8053,175.2169,64.19509,62.24178,80.56309,-0.70065,-0.95127,-0.88057,-0.15909,0.43961,-0.62455,3,
156.5889,172.2934,163.4371,41.14003,41.88149,56.36247,-1.15826,-1.34906,-1.20623,0.326195,1.127999,-0.04669,3,
155.7242,169.8185,161.4953,43.58864,45.18035,57.09023,-1.08714,-1.31454,-1.16961,0.362503,1.10234,-0.04351,3,
138.753,152.0288,144.2795,39.59351,41.43723,51.05034,-0.95041,-1.18196,-0.98352,0.363066,1.132584,-0.18584,3,
160.7293,173.5795,156.8019,68.35642,66.11167,86.88629,-0.47555,-0.73311,-0.48756,-0.62513,-0.14797,-1.30166,3,
169.59,181.81,175.22,64.195,62.242,80.563,-70.065,-95.127,-88.057,-15.909,43.961,-62.455,3,
151.1,159.56,129.91,48.832,46.329,70.365,-77.962,-73.562,-69.576,-57.362,-63.105,-12.155,4,
153.2,158.63,130.01,52.423,50.234,78.723,-49.534,-52.285,-39.415,-84.722,-76.308,-15.164,4,
142.31,153.73,110.42,55.607,51.891,85.154,-40.406,-5.102,-52.055,-10.651,-89.785,-17.711,4,
151.43,161.73,129.15,45.366,42.101,70.089,-80.058,-82.277,-68.535,-76.571,-66.744,-13.152,4,
145.44,153.66,115.48,55.211,52.089,83.179,-40.845,-52.177,-72.476,-97.986,-81.548,-16.976,4,
111.48,122.66,81.003,33.656,31.658,60.152,-11.113,-14.301,-10.549,65.032,1.6862,-18.178,4,
157.25,165.19,134.3,57.435,54.735,81.278,-46.302,-6.258,-25.675,-88.443,-50.554,-16.162,5,
152.22,160.28,134.16,58.204,55.467,84.317,-58.801,-76.158,-29.852,-10.116,-55.538,-17.146,5,
162.87,170.04,145.39,58.177,56.281,75.335,-52.317,-58.082,-56.932,-10.129,-85.824,-12.697,5,
150.21,157.84,132,57.877,54.956,82.045,-50.654,-63.033,-33.189,-11.087,-77.592,-16.617,5,
162.47,170,147.31,48.971,48.035,65.383,-71.431,-7.755,-84.352,-45.414,-28.195,-0.77,5,
159.27,167.16,140.28,55.855,54.187,73.549,-50.167,-56.511,-53.923,-10.797,-90.433,-13.551,5,
117.41,128.44,72.546,48.833,48.624,61.091,32.057,80.772,1.1538,-69.917,-63.156,55.788,5,
114.69,125.87,74.744,52.403,52.068,68.208,31.974,18.699,1.1118,-78.893,-69.673,-20.396,5,
109.03,118.65,71.312,49.124,48.705,60.794,95.971,77.968,1.3405,-22.137,-11.782,48.872,5,
110.53,121.13,70.811,51.646,50.426,66.503,55.637,27.501,1.1935,-60.801,-64.298,17.201,5,
154.65,162.43,137.41,48.738,48.017,66.605,-66.196,-70.673,-67.446,-87.192,-66.713,-12.323,5,
140.77,149.95,113.48,59.7,58.564,78.056,60.829,-20.117,14.434,-15.245,-14.198,-17.298,5,
136.58,146.08,104.08,54.754,51.937,76.104,-18.487,-16.003,35.284,-13.337,-13.459,-17.355,4,
118.56,127.52,65.617,49.366,47.25,67.528,42.369,36.029,96.185,-48.715,-47.481,-5.265,4,
107.34,122.51,51.765,46.508,45.694,61.865,34.061,18.536,1.4641,-4.331,-61.746,92.102,4,
149.2,159.72,125.8,45.646,42.382,70.769,-73.426,-75.936,-59.768,-89.542,-79.743,-14.352,4,
109.91,124.33,52.97,46.635,46.046,64.432,22.289,42.809,1.3592,-72.043,-85.276,45.354,4,
110,121.61,77.776,33.815,32.06,59.906,-10.607,-13.698,-12.826,53.043,1.482,-18.253,4,
128.99,135.32,81.161,48.809,49.132,71.353,21.341,75.543,92.027,-75.667,-69.559,-66.407,1,
129.51,136.73,79.609,39.577,41.447,63.127,55.763,44.242,97.142,-64.208,-63.253,-66.637,1,
130.1,136.98,79.942,39.341,40.914,63.205,55.934,44.049,97.243,-61.754,-61.018,-66.381,1,
137.95,143.53,121.1,48.091,47.065,73.344,-57.989,-61.298,-34.029,-57.525,-48.577,-15.742,1,
158.63,166.36,144.78,42.197,42.26,62.814,-95.651,-96.954,-871,-39.842,-29.187,-10.173,1,
139.87,147.03,127.95,32.287,32.093,49.657,-10.284,-11.252,-9.195,31.305,74.565,-83.627,1,
133.8,141.3,117.16,50.2,47.001,70.083,-36.341,-40.749,-17.173,-6.692,-35.654,-1.54,2,
149.82,155.99,137.73,46.36,47.498,60.565,-63.909,-88.786,-70.854,-11.675,393,-85.582,2,
150.2,157.25,137.33,41.686,41.857,57.787,-84.565,-10.486,-83.262,-17.618,58.355,-9.062,2,
134.11,140.67,126.11,50.73,49.057,69.995,-65.506,-83.431,-45.809,-43.026,1.321,-14.247,2,
154.71,161.94,142.71,45.314,46.067,61.914,-4.997,-80.703,-67.245,-21.202,37.341,-9.547,2,
150.54,156.77,139.98,48.89,50.682,63.424,-45.628,-75.996,-57.795,-26.983,12.165,-10.156,2,
145.18,158.8,142.97,66.211,64.977,84.048,-19.343,-50.339,-25.939,-53.654,-20.799,-13.539,3,
156.42,172.07,163.09,41.424,42.16,56.757,-11.443,-1.332,-11.848,27.106,1.0582,-10.894,3,
155.14,169.02,160.33,44.637,46.247,58.474,-1.041,-12.555,-10.983,1.733,86.094,-24.873,3,
138.75,152.03,144.28,39.594,41.437,51.05,-95.041,-1.182,-98.352,36.307,1.1326,-18.584,3,
138.81,153,127.87,66.577,65.366,85.02,-92.163,-41.086,87.971,-62.691,-37.119,-14.797,3,
128.9,140.22,124.87,52.906,52.647,66.617,-61.796,-88.514,-4.508,-33.454,1.917,-12.256,3,